                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0172,                 2.9892,                 3.0762,                0.21764,                0.14794,                0.11013,                0.04069,                 2.4697,                  3.015,                 2.5487,             0.00066597,             0.00066597,             0.00066597
                      2,                 2.1646,                 2.2209,                 2.0714,                0.41174,                0.28058,                0.26145,                0.10062,                 2.2222,                 2.3401,                 2.1821,              0.0012887,              0.0012887,              0.0012887
                      3,                 1.9372,                   1.96,                 1.8411,                0.53494,                0.32899,                0.33353,                0.14654,                 2.0464,                 2.1038,                  2.053,              0.0018673,              0.0018673,              0.0018673
                      4,                 1.8207,                 1.8104,                 1.7329,                0.58104,                0.36962,                0.38547,                0.17634,                 1.9116,                   1.84,                 1.8888,               0.001802,               0.001802,               0.001802
                      5,                 1.7335,                 1.7008,                 1.6617,                0.63793,                0.40857,                 0.4424,                0.20622,                 1.8335,                 1.6808,                 1.8024,               0.001736,               0.001736,               0.001736
                      6,                 1.6743,                  1.612,                 1.6136,                0.65305,                0.41557,                0.45009,                0.22587,                 1.7628,                 1.5977,                  1.766,                0.00167,                0.00167,                0.00167
                      7,                 1.6166,                 1.5441,                 1.5741,                0.66944,                0.43171,                0.47887,                0.24215,                 1.7021,                 1.5186,                 1.7151,               0.001604,               0.001604,               0.001604
                      8,                 1.5887,                 1.5078,                 1.5545,                0.67928,                 0.4364,                0.48844,                 0.2495,                 1.6966,                  1.478,                  1.699,               0.001538,               0.001538,               0.001538
                      9,                 1.5538,                 1.4683,                 1.5281,                0.70374,                0.44276,                0.50598,                0.26244,                 1.6551,                 1.4178,                 1.6572,               0.001472,               0.001472,               0.001472
                     10,                 1.5259,                 1.4231,                  1.505,                0.67784,                0.46876,                 0.5174,                0.27164,                 1.6295,                 1.3942,                 1.6207,               0.001406,               0.001406,               0.001406
                     11,                  1.509,                 1.3966,                 1.4864,                0.70025,                0.47795,                0.53729,                0.28434,                 1.5991,                 1.3483,                 1.6149,                0.00134,                0.00134,                0.00134
                     12,                 1.4923,                  1.381,                 1.4769,                0.71687,                0.47317,                0.53629,                0.28887,                 1.5879,                 1.3283,                 1.5959,               0.001274,               0.001274,               0.001274
                     13,                  1.463,                  1.346,                 1.4564,                0.72168,                0.47636,                 0.5394,                0.28778,                 1.5776,                 1.3165,                   1.59,               0.001208,               0.001208,               0.001208
                     14,                 1.4425,                 1.3201,                 1.4402,                0.72058,                0.48818,                0.55325,                0.29802,                 1.5578,                 1.2617,                 1.5671,               0.001142,               0.001142,               0.001142
                     15,                 1.4363,                 1.3047,                 1.4306,                0.72518,                0.48912,                0.55714,                 0.3031,                 1.5487,                   1.24,                 1.5507,               0.001076,               0.001076,               0.001076
                     16,                 1.4183,                 1.2819,                 1.4186,                0.72173,                0.49465,                0.56435,                0.31059,                 1.5149,                 1.2187,                 1.5305,                0.00101,                0.00101,                0.00101
                     17,                 1.4044,                 1.2749,                 1.4124,                0.72441,                0.49803,                0.56927,                0.31472,                 1.5067,                 1.2116,                 1.5311,               0.000944,               0.000944,               0.000944
                     18,                 1.3907,                 1.2511,                 1.4017,                0.73233,                 0.5075,                0.58006,                0.32131,                 1.5017,                 1.1917,                 1.5127,               0.000878,               0.000878,               0.000878
                     19,                 1.3812,                 1.2388,                 1.3907,                0.72756,                0.51069,                0.58148,                0.32357,                 1.4841,                 1.1738,                 1.5021,               0.000812,               0.000812,               0.000812
                     20,                 1.3671,                  1.228,                 1.3867,                0.74044,                 0.5106,                0.58149,                0.32387,                 1.4884,                 1.1593,                 1.5056,               0.000746,               0.000746,               0.000746
                     21,                 1.3361,                 1.1814,                 1.3873,                  0.747,                0.51801,                 0.5936,                0.32997,                 1.4658,                 1.1447,                 1.4847,                0.00068,                0.00068,                0.00068
                     22,                 1.3198,                 1.1555,                 1.3743,                0.73826,                0.51888,                0.59429,                0.33646,                 1.4541,                 1.1258,                 1.4786,               0.000614,               0.000614,               0.000614
                     23,                 1.3103,                 1.1428,                 1.3708,                0.74767,                0.52812,                0.60695,                0.34123,                 1.4511,                 1.1118,                 1.4738,               0.000548,               0.000548,               0.000548
                     24,                 1.2983,                 1.1227,                 1.3607,                0.74052,                0.52953,                0.60485,                0.34203,                 1.4408,                 1.1122,                 1.4658,               0.000482,               0.000482,               0.000482
                     25,                  1.287,                 1.1101,                 1.3525,                 0.7491,                 0.5285,                0.60575,                0.34556,                 1.4252,                 1.0953,                 1.4519,               0.000416,               0.000416,               0.000416
                     26,                 1.2695,                 1.0969,                 1.3439,                0.75628,                0.52864,                0.61137,                0.34939,                 1.4233,                 1.0782,                 1.4552,                0.00035,                0.00035,                0.00035
                     27,                 1.2624,                 1.0836,                 1.3348,                 0.7525,                0.53591,                0.61223,                0.35111,                 1.4178,                 1.0717,                 1.4477,               0.000284,               0.000284,               0.000284
                     28,                 1.2484,                 1.0676,                 1.3274,                0.74595,                0.54429,                0.61864,                0.35408,                 1.4164,                 1.0695,                 1.4484,               0.000218,               0.000218,               0.000218
                     29,                 1.2402,                 1.0583,                 1.3218,                0.74948,                0.54118,                0.61784,                0.35527,                 1.4097,                 1.0651,                 1.4433,               0.000152,               0.000152,               0.000152
                     30,                  1.234,                 1.0519,                 1.3178,                  0.751,                0.54278,                0.62003,                0.35771,                 1.4057,                  1.058,                 1.4401,                8.6e-05,                8.6e-05,                8.6e-05
